"block_id","count()"
1573927,95
1573928,68
1573929,38
1573930,4
1573931,42
1573932,28
1573933,6
1573934,68
1573935,1
1573936,45
1573937,38
1573938,110
1573939,9
1573940,67
1573941,71
1573942,1
1573943,97
1573944,109
1573945,5
1573946,51
1573947,5
1573948,9
1573949,100
1573950,50
1573951,65
1573952,12
1573953,7
1573954,11
1573955,56
1573956,43
1573957,21
1573958,16
1573959,13
1573960,59
1573961,17
1573962,49
1573963,51
1573964,3
1573965,32
1573966,149
1573967,52
1573968,6
1573969,37
1573970,1
1573971,17
1573972,18
1573973,94
1573974,16
1573975,21
1573976,1
1573977,26
1573978,15
1573979,35
1573980,7
1573981,88
1573982,123
1573983,46
1573984,19
1573985,15
1573986,63
1573987,18
1573988,4
1573989,3
1573990,73
1573991,1
1573992,1
1573993,115
1573994,7
1573995,25
1573996,36
1573997,29
1573998,1
1573999,1
1574000,23
1574001,61
1574002,26
1574003,1
1574004,27
1574005,54
1574006,83
1574007,17
1574008,46
1574009,52
1574010,9
1574011,27
1574012,33
1574013,1
1574014,2
1574015,33
1574016,2
1574017,3
1574018,23
1574019,28
1574020,9
1574021,47
1574022,4
1574023,2
1574024,18
1574025,2
1574026,40
1574027,2
1574028,72
1574029,78
1574030,58
1574031,18
1574032,38
1574033,63
1574034,12
1574035,10
1574036,59
1574037,22
1574038,28
1574039,46
1574040,4
1574041,38
1574042,34
1574043,91
1574044,11
1574045,16
1574046,1
1574047,45
1574048,12
1574049,1
1574050,1
1574051,32
1574052,46
1574053,5
1574054,21
1574055,3
1574056,19
1574057,63
1574058,148
1574059,58
1574060,12
1574061,14
1574062,2
1574063,5
1574064,16
1574065,1
1574066,109
1574067,12
1574068,10
1574069,1
1574070,55
1574071,10
1574072,11
1574073,70
1574074,50
1574075,27
1574076,11
1574077,16
1574078,1
1574079,72
1574080,3
1574081,10
1574082,21
1574083,31
1574084,3
1574085,92
1574086,19
1574087,9
1574088,6
1574089,11
1574090,1
1574091,49
1574092,11
1574093,3
1574094,107
1574095,2
1574096,1
1574097,49
1574098,55
1574099,21
1574100,81
1574101,10
1574102,31
1574103,4
1574104,2
1574105,102
1574106,35
1574107,10
1574108,14
1574109,22
1574110,39
1574111,1
1574112,16
1574113,69
1574114,80
1574115,4
1574116,16
1574117,24
1574118,5
1574119,36
1574120,9
1574121,122
1574122,58
1574123,6
1574124,19
1574125,8
1574126,85
1574127,71
1574128,1
1574129,15
1574130,1
1574131,28
1574132,31
1574133,118
1574134,71
1574135,50
1574136,11
1574137,1
1574138,42
1574139,1
1574140,57
1574141,25
1574142,12
1574143,2
1574144,12
1574145,67
1574146,32
1574147,81
1574148,60
1574149,1
1574150,10
1574151,4
1574152,30
1574153,8
1574154,31
1574155,12
1574156,3
1574157,42
1574158,30
1574159,11
1574160,12
1574161,38
1574162,67
1574163,1
1574164,1
1574165,73
1574166,64
1574167,54
1574168,65
1574169,23
1574170,1
1574171,12
1574172,71
1574173,1
1574174,39
1574175,31
1574176,12
1574177,9
1574178,84
1574179,231
1574180,16
1574181,50
1574182,40
1574183,24
1574184,42
1574185,68
1574186,3
1574187,152
1574188,11
1574189,10
1574190,17
1574191,84
1574192,35
1574193,1
1574194,21
1574195,25
1574196,51
